=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
 5988  pg_ctl.exe                                                          2020-01-24 18:10:03       12  running           184320      12987457              0            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\pg_ctl.exe
 5996  svchost.exe                                                         2020-01-24 18:10:03       12  running           184320             0              0            2  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 6008  RtkBtManServ.exe                                                    2020-01-24 18:10:03       12  running          1011712             0          15642            4  NT AUTHORITY\SYSTEM           C:\Windows\RtkBtManServ.exe
 6020  NvTelemetryContainer.exe                                            2020-01-24 18:10:03       12  running          2834432        590604       35394290            9  NT AUTHORITY\NETWORK SERVICE  C:\Program Files\NVIDIA Corporation\NvTelemetry\NvTelemetryContainer.exe
 6028  svchost.exe                                                         2020-01-24 18:10:03       12  running           221184         24064           2048            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 6044  svchost.exe                                                         2020-01-24 18:10:03       12  running          1409024           116            160            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 6048  OxyPipeServer.exe                                                   2020-01-24 18:10:03       12  running          3448832             0              0            5  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Oxygen Software\OxyServices\OxyPipeServer.exe
 6060  Updater.exe                                                         2020-01-24 18:10:03       12  running          1433600             0              0            3  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Popcorn Time\Updater.exe
 6072  vmnetdhcp.exe                                                       2020-01-24 18:10:03       12  running           380928        123604          10005            2  NT AUTHORITY\SYSTEM           C:\Windows\SysWOW64\vmnetdhcp.exe
 6100  svchost.exe                                                         2020-01-24 18:10:03       12  running          3026944        319657         164960            7  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 6112  vmnat.exe                                                           2020-01-24 18:10:03       12  running           622592      21862072       43772883            4  NT AUTHORITY\SYSTEM           C:\Windows\SysWOW64\vmnat.exe
 6120  MsMpEng.exe                                                         2020-01-24 18:10:03       12  running        416706560   16933167277     3245408656           51  NT AUTHORITY\SYSTEM           C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MsMpEng.exe
 6168  CodeMeter.exe                                                       2020-01-24 18:10:03       12  running         10362880           174         745476           17  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\CodeMeter\Runtime\bin\CodeMeter.exe
 6188  vmware-usbarbitrator64.exe                                          2020-01-24 18:10:03       12  running          1916928          7282          74248            3  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe
 6456  IntelCpHeciSvc.exe                                                  2020-01-24 18:10:03       12  running           671744          1282            124            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b261b2ab559fdee8\IntelCpHeciSvc.exe
 6560  httpd.exe                                                           2020-01-25 19:02:06       12  running           405504        281851           1400            4  NT AUTHORITY\SYSTEM           C:\wamp64\bin\apache\apache2.4.41\bin\httpd.exe
 6616  svchost.exe                                                         2020-01-24 18:10:03       12  running           552960             0              0           18  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 6668  svchost.exe                                                         2020-01-24 18:10:03       12  running           143360             0              0            3  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 6756  svchost.exe                                                         2020-01-24 18:10:03       12  running          1372160        340040        2241820            6  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 7124  svchost.exe                                                         2020-01-24 18:10:03       12  running          1912832           232            320           13  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 7252  conhost.exe                                                         2020-01-24 18:10:03       12  running           393216             0              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\conhost.exe
